study_id,doi,pmid,pmcid,species,strain,drug,drug_class,mono_or_combo,n_exposure_levels,concentration_range,MIC_reported,exposure_type,duration_h,n_sampling_times,sampling_times,readout,n_replicates,inoculum_cfu_ml,LOD_cfu_ml,system,growth_state,published_pd_model,published_params,data_source,data_availability,role,verified_by,verified_date,repository,record_url,licence,licence_class,redistributable,has_time_series,has_starting_density,has_floor_or_volume,headroom_computable,n_series,acquisition,permission_status,notes
AGUILAR2025,10.1038/s41467-025-64427-6 (Source Data 41467_2025_64427_MOESM6_ESM.xlsx),,,"M. tuberculosis H37Rv and clinical isolate Mtb-N1283, in BALB/c mouse lung and in vitro; plus a clinical-isolate panel f",,"Telacebec (Q203), JNJ-4052, JNJ-2901, bedaquiline, pretomanid, linezolid, moxifloxacin, clofazimine, rifampicin, isoniaz",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC12546632/ — Source Data retrieved as 41467_2025_64427_MOESM6_ESM.xlsx (38,852 bytes) and 41467_2025_64427_MOESM3_ESM.xlsx (20,649 bytes)",CC BY 4.0 — Europe PMC core record for PMC12546632 returns 'cc by'. Redistributable.,USE_OK_REDIST_OK,yes,PARTIAL — DOWNGRADED from the previous agent's 'YES'. There ,"YES — Day 0 lung burden per animal in every study, e.g. 7.05","PARTIAL — DOWNGRADED. The 0.4 log10 CFU/lung LOD appears EXACTLY ONCE in the whole article, in the Fig. 2 legend, and applies to Study E onl",no: neither reported,"~780 mouse log10 CFU/lung values (I counted 952 numeric cells across the workbook, of whic",deposit,not requested,"Six mouse studies (A-F) as per-animal log10 CFU/lung. I printed all 14 sheets. WHAT THE STRUCTURE ACTUALLY IS: each study gives an implantation timepoint (Day -13, -10 or -2 wk) and a treatment-start Day 0 for the UNTREATED cohort, and then typically ONE or TWO post-treatment endpoints per regimen — Supp. Table 4 block"
XU2026,"10.1038/s42003-026-09947-7 (Supplementary Data 1, 42003_2026_9947_MOESM3_ESM.xlsx)",,,M. tuberculosis H37Rv plus clinical pre-XDR isolates 13946 and 16833; also assayed under three physiological states (rep,,"Questiomycin A (QM) and rifampicin, each at 1/2, 1, 2, 4, 8 and 16 x MIC plus a growth control; and in absolute terms 0.",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,https://pmc.ncbi.nlm.nih.gov/articles/PMC13201773/ — Supplementary Data 1 retrieved as 42003_2026_9947_MOESM3_ESM.xlsx via the Europe PMC supplementaryFiles endpoint,"CC BY-NC-ND 4.0 — Europe PMC core record for PMC13201773 returns 'cc by-nc-nd', and the article XML carries the standard '...Attribution-NonCommercial-NoDerivatives 4.0 ... You do not have permission ",USE_OK_REDIST_NO,no,"YES — five timepoints (Days 0-14) in the main grid, four (Da","YES — Day 0 CFU/mL per replicate, e.g. 170,000 / 158,000 / 1","NO usable number. The Fig. 1 legend says 'The dotted horizontal line represents the CFU detection limit' but never states its value, and I f",no: neither reported,Roughly 300-400 CFU/mL readings in the main grid (3 strain-drug blocks x 7 arms x 3 replic,deposit,not requested,"Sheet 'fig.1' is a clean concentration-by-time kill grid in ABSOLUTE CFU/mL: rows Day 0, 3, 7, 10, 14; columns = 7 concentration arms x 3 replicates; repeated for QM and rifampicin and for H37Rv plus two pre-XDR isolates. Sheet 'fig.2' gives CFU/mL at Days 0, 1, 7, 21 for a control and four drug arms x 3 replicates, in"
EVANGELOPOULOS2022,10.5522/04/19175153.v2,,,M. tuberculosis in mouse lung/tissue homogenates,,"Rifampicin, ethambutol, isoniazid, U480, and rifapentine-based RZL regimens at 60 and 300 mg/kg, alone and with moxiflox",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://api.figshare.com/v2/articles/19175153 — file retrieved from https://ndownloader.figshare.com/files/34079879 (20,315 bytes)","CC BY 4.0 — read directly from the figshare API record ({'value':1,'name':'CC BY 4.0'}). Redistributable.",USE_OK_REDIST_OK,yes,NO — and this is why it is not a hit under your criteria. Th,NO — no inoculum or Day 0 count is given anywhere in the dep,NO stated LOD or plated volume in the deposit itself. Its value is the opposite: it documents empirically what the floor does to plate count,no: neither reported,"One 20,315-byte xlsx, 4 sheets, roughly 150 paired assay values across ~10 treatment arms ",deposit,not requested,"Four sheets. 'Figure 2' and 'Figure 3' give, for the same treated and control animals, three parallel enumerations of the same samples: CFU, MBL (16S-rRNA molecular bacterial load) and, in Figure 3-4, MPN. The scientifically important pattern is visible in the raw values: under RZL60 and RZL300 the CFU column reads 2, "
OFORI2024,10.1038/s41467-024-53933-8 (Source Data 41467_2024_53933_MOESM8_ESM.xlsx),,,"M. tuberculosis H37Rv, H37Rv ΔkatG, ΔkatG::pkatG, pEmpty and pfurA over-expression strains, and nine TDR-TB clinical iso",,"Bedaquiline 2.7 ug/mL (also 0.17 and 0.68), isoniazid 0.1 ug/mL, plus hydrogen peroxide, phleomycin, trimethoprim-sulfam",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11561320/ — Source Data retrieved as 41467_2024_53933_MOESM8_ESM.xlsx (1,953,219 bytes)",CC BY 4.0 — Europe PMC core record for PMC11561320 returns 'cc by'. This part of the previous agent's entry is correct.,USE_OK_REDIST_OK,yes,NO for the only sheet with absolute counts (Figure 1c: two p,"PARTIAL — YES for Figure 1c (Day 0 CFU/mL per strain, 8.4e5 ","NO — confirmed by reading the methods, which say only 'sampled at indicated time points, serially diluted in 7H9 media, and plated on 7H10 O",no: neither reported,"Figure 1c: 10 strains x 2 timepoints = 20 CFU/mL values, no replicates. Figures 1e/1f: ~45",deposit,not requested,"I opened all 40 sheets and printed the Figure 1 block. THE PREVIOUS AGENT'S DESCRIPTION DOES NOT SURVIVE INSPECTION. Sheet 'Figure 1c' is indeed headed 'DATA / CFU/mL / Day | H37Rv | TDR-0077 | ...' but it contains exactly TWO rows: Day 0 and Day 30. It is a 30-day endpoint, not a curve, and the legend states 'n = 1 bi"
VAN2026,10.5281/zenodo.21397999 (concept DOI 10.5281/zenodo.21397998),,,"M. tuberculosis in the murine relapsing model, lung burden",,58 unique regimens per the record abstract; individual agents not enumerated on the landing page,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,https://zenodo.org/records/21397999 (API: https://zenodo.org/api/records/21397999),"The record metadata carries license {'id':'cc-by-4.0'}, but access_right is 'restricted' and there are zero files. The licence governs only once access is granted; do not assume redistribution rights ",USE_OK_REDIST_OK,yes,UNKNOWN — contents not inspected. The abstract's phrasing (',UNKNOWN — contents not inspected.,UNKNOWN — contents not inspected.,no: neither reported,"843 short-term biomarker observations + 2,239 relapse observations across 9 datasets and 5",deposit,not requested,"CONTENTS NOT INSPECTED — the files array is empty because access is restricted. Per the abstract: nine datasets, 58 unique regimens, 843 short-term biomarker observations (lung CFU plus the ribosomal RNA synthesis ratio) and 2,239 long-term relapse observations. This is the JHU/CSU/TB Alliance preclinical mouse corpus "
SOU,10.5281/zenodo.19889677 (concept 10.5281/zenodo.19889676),,,"Acinetobacter baumannii, multiple strains with per-record MICs",,"meropenem, colistin, polymyxin B, meropenem+polymyxin combinations, plus growth controls",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"repositories (Zenodo, figshare, Dryad, D",https://zenodo.org/records/19889677,"CC BY 4.0 — confirmed from the Zenodo record itself, metadata.license.id = ""cc-by-4.0""",USE_OK_REDIST_OK,yes,"YES — verified by parsing: 13 distinct TIME values (0, 0.5, ","YES — verified: INOC_TH column takes exactly the values 4, 5","YES — verified: an explicit LOD column taking exactly four values (10, 20, 100, 400 CFU/mL), plus a two-valued BLOD censoring flag and an an",no: neither reported,"2,636 rows; 60 culture series; 5 inoculum levels; 3 drug arms plus control",deposit,not requested,"VERIFIED IN FULL — every claim the agent made holds. Two files: data.csv (222,153 bytes) and model.txt (NONMEM control stream). I re-parsed data.csv: exactly 2,636 rows, 37 columns, 60 distinct ID series. Columns confirmed present: ID, TIME, DV, EVID, AMT, RATE, ADDL, II, MDV, CMT, INOC_TH, OCC, PK parameter sets for b"
MICHIELS2022,10.5281/zenodo.7147832,,,Streptococcus pneumoniae — lab strain D39 plus a panel of clinical isolates with serotypes and clinical metadata,,"amoxicillin (20x, 100x, 200x MIC), vancomycin, plus untreated controls",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"General data repositories (Zenodo, figsh",https://zenodo.org/records/7147832,CC BY 4.0 (Zenodo record metadata.license.id = cc-by-4.0),USE_OK_REDIST_OK,yes,YES — I opened the workbook; the time-kill sheets carry CFU/,"YES — explicit t=0 CFU/mL rows in the time-kill sheets, and ","NO — no LOD, plated volume or dilution factor is stated anywhere in the workbook; drop-outs are marked '/' rather than censored",no: neither reported,"~1,470 kill-curve rows across four sheets; D39 plus a clinical isolate panel; 3+ repeats p",deposit,not requested,"One file, 'Manuscript persistence in S. pneumoniae_raw data.xlsx' (145 KB, 10 sheets). Four sheets are kill-curve data: 'Time-kill curves D39' (481 rows; columns Repeat, Time of treatment (h) = 0/2/4/6/8/22/24, Concentration (CFU/mL), Growth phase, AB, concentration in xMIC), 'Heritability assay - kill curve' (586 rows"
SALMONELLA2023,10.5281/zenodo.10277562,,,"Salmonella enterica serovar Typhimurium ATCC 14028 and a large deletion-mutant panel (rpoS, sdhAB, acnAB, nifJ, fumB, pc",,"ampicillin and ciprofloxacin, in LB and in M63 minimal medium at two glucose levels",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"General data repositories (Zenodo, figsh",https://zenodo.org/records/10277562,CC BY 4.0 (Zenodo record metadata.license.id = cc-by-4.0),USE_OK_REDIST_OK,yes,YES — I opened three of the workbooks; each is CFU/mL agains,YES — every table starts at time 0 with CFU/mL around 1e7 to,"NO — no LOD or plated volume stated; the lowest recorded values are 10 and 50 CFU/mL, which hints at a floor but nothing states it",no: neither reported,"89 workbooks, each 1-2 sheets, roughly 20 strain-condition columns per sheet in the larger",deposit,not requested,"91 files (89 .xlsx + 2 .pdf, 2.7 MB total), named 'M<n> persisters-LB.xlsx' / 'M<n> persisters-M63.xlsx'. Each workbook has a header block naming preculture conditions, persistence medium, antibiotic and strain genotypes, then a table with 'time (min)' in the first column and one CFU/mL column per strain. Time grids se"
P2021,10.5061/dryad.hqbzkh1fq,,,"Pseudomonas aeruginosa Xen41 (bioluminescent), biofilm on orthopaedic material discs",,vancomycin/tobramycin-loaded calcium sulfate beads and PMMA spacers (antibiotic identities per the related article),,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"General data repositories (Zenodo, figsh",https://datadryad.org/dataset/doi:10.5061/dryad.hqbzkh1fq,CC0 1.0 (Dryad API 'license' field: https://spdx.org/licenses/CC0-1.0.html),USE_OK_REDIST_OK,yes,UNKNOWN (contents not inspected) — the model is a diffusion/,UNKNOWN — not inspected,UNKNOWN — not inspected,no: neither reported,one 68 KB workbook; row count unknown,fetched by hand from Dryad (bot challenge on the API),not requested,"A single file, jbji-2020-72_Raw_Data.xlsx (68 KB). The abstract describes a 'large agar plate' model in which biofilms on discs are exposed to antibiotic diffusing from calcium sulfate beads, with spread and killing assessed; the related article is JBJI 6:119 (10.5194/jbji-6-119-2021). Whether the workbook holds CFU co"
BENZBROMARONE2025,10.3389/fmed.2025.1665514.s001 (figshare id 30091894),,,"multidrug-resistant Gram-negative bacteria (colistin-resistant clinical isolates; strain identities are in the article, ",,,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"General data repositories (Zenodo, figsh",https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_Antimicrobial_effect_of_benzbromarone_combined_with_colistin_against_multidrug-resistant_bacteria_xlsx/30091894,"CC BY 4.0 (figshare article license object: 'CC BY 4.0', https://creativecommons.org/licenses/by/4.0/)",USE_OK_REDIST_OK,yes,"YES — I downloaded and parsed the workbook; six time points,","YES — t=0 log10 CFU/mL rows present, ~5.5 log10","NO — no LOD or plated volume; the combination arm is recorded as exactly 0 at 10 h, i.e. censoring encoded as a zero",no: neither reported,"6 time points x 4 arms x 3 replicates per figure panel, several panels",deposit,not requested,"One xlsx (8.1 MB, sheets Fig.1 to Fig.6). Sheet 'Fig.3' (61 rows) is the time-kill: first column Time(h) = 0, 2, 4, 6, 8, 10, then three replicate columns for each of four arms (control, colistin 0.5 ug/mL, benzbromarone 64 ug/mL, colistin+benzbromarone), values in log10 CFU/mL. Sheet Fig.1 is MIC checkerboard OD, Fig."
VAN2026_2,10.5281/zenodo.21397999,,,"Mycobacterium tuberculosis in the murine relapsing model (BALB/C and related), lung burden",,58 unique regimens built from the modern TB armamentarium (per the record abstract); individual drugs not enumerated on ,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Tuberculosis programmes and consortia (E,https://zenodo.org/records/21397999,"The record's metadata carries cc-by-4.0, BUT access_right is 'restricted' and the files array is empty — so the licence would govern only after an access request is granted. Do not assume you may redi",USE_OK_REDIST_OK,yes,UNKNOWN — the abstract describes 'short-term biomarker' obse,UNKNOWN — contents not inspected,UNKNOWN — contents not inspected,no: neither reported,"843 short-term biomarker observations + 2,239 relapse observations across 9 datasets and 5",deposit,not requested,"Per the Zenodo abstract: nine datasets covering 58 unique regimens, 843 short-term biomarker observations (colony forming units in murine lungs plus the ribosomal RNA synthesis ratio) and 2,239 long-term relapse observations. This is exactly the JHU/CSU/TB Alliance preclinical mouse corpus that TB-APEX otherwise gates."
GREENSTEIN2023,10.5281/zenodo.7896805,,,"Mycobacterium tuberculosis on 7H10 agar, BSL-3",,Unspecified 'different drug treatments' with an untreated control; the record does not name them,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Tuberculosis programmes and consortia (E,https://zenodo.org/records/7896805,"CC BY 4.0, open access — read from the Zenodo record JSON",USE_OK_REDIST_OK,yes,NO — the record describes plates photographed once after col,NO — inoculum densities are not stated on the record,NO — no plated volume or LOD stated; the dilution scheme is described only qualitatively,no: neither reported,3.04 GB of TIFFs; number of plates not stated,deposit,not requested,"One file, images.zip, 3,040,356,523 bytes (3.04 GB). Unedited TIFF photographs of agar plates. Each treatment has three replicates plus a no-drug control, and serial dilutions were plated in plate quadrants to reach a countable range. There is no counts table, no timepoint column and no metadata file listed — the depos"
MUETTER2026_2,10.5281/zenodo.21321592 (data; supersedes 10.5281/zenodo.15261454); analysis code 10.5281/zenodo.21321595 and 10.5281/zenodo.15261184; parent paper 10.7554/eLif,,,Escherichia coli carrying a luxCDABE reporter,,"20 antimicrobials compared in the paper; the folders I inspected cover ampicillin and penicillin explicitly, with a sepa",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Non-tuberculous clinical pathogens (S. a,https://zenodo.org/records/21321592,"CC BY 4.0 — read from the Zenodo API record (metadata.license.id = 'cc-by-4.0'), access open. Parent paper also CC BY per Europe PMC.",USE_OK_REDIST_OK,yes,YES — verified; the extracted frames carry both an absolute ,YES for the experiments I inspected — t0 colony-detection fi,"YES — the analysis frames carry an explicit below_limit boolean alongside num_colonies, dilution and dil_factor, so the floor is recoverable",no: neither reported,"3.87 GB compressed / ~5.5 GB uncompressed; 50,052 archive entries; 2,039 CSVs; 49,455 data",deposit,not requested,"A single 3.87 GB zip, luminescence_data_zenodo_v2.zip, containing 50,052 entries: 44,194 PNG plate/colony images, 2,039 CSVs, 955 XML, 731 Tecan .gwl worklists, 538 .py, 206 .xlsx. Eight experiment folders: validation_experiments_2024 (luminescence-vs-CFU validation + drug comparison, 31,959 files), stop_death (dilutio"
PRETOMANID,BioStudies S-SCDT-10_1038-S44321-026-00378-9; parent article 10.1038/s44321-026-00378-9,,,"Mycobacterium tuberculosis H37Rv and the isogenic ΔcydAB mutant, both replicating and nutrient-starved non-replicating",,"pretomanid, Q203 (telacebec), the pretomanid+Q203 combination, and DMSO vehicle control",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"repositories (Zenodo, figshare, Dryad, D",https://www.ebi.ac.uk/biostudies/studies/S-SCDT-10_1038-S44321-026-00378-9,"NOT STATED ON THE REPOSITORY RECORD — I checked and must say so plainly. The BioStudies record exposes only ReleaseDate, RootPath and AttachTo=SourceData; there is no licence or accessTags field. Seco",ASK_FIRST,no,YES — verified by opening three workbooks: six time points p,YES — verified: Day 0 is present in every arm of every sheet,"YES — and this is why the entry matters. The sheet header states verbatim 'Limit of detection; 20 CFU/mL', a footnote repeats '*L.O.D: limit",no: neither reported,11 CFU workbooks; the in vitro kill-kinetics sheets alone give 4 arms x 6 days x 3 replica,deposit,not requested,"NEW ENTRY, files opened and parsed. 18 per-figure source-data workbooks, of which 11 carry CFU: CFU_Nutrient_starvation_Fig_3B/3C/3D/3E, Kill_kinetics_Fig_4A, Kill_kinetics_Fig_4C, Bactericidal_potency_Fig_4D, and In_vivo_CFU_Fig_5A/5B/5C/5D. I opened Fig_4A, Fig_4C and Fig_3B. Each is headed 'Raw CFU counts' and lays "
FLORFENICOL2019,BioStudies S-EPMC6579883; article 10.3389/fmicb.2019.01237; PMID 31244793; PMC6579883,,,"Pasteurella multocida and Mannheimia haemolytica — veterinary respiratory pathogens, both new to this corpus",,"florfenicol at 0, 0.25, 0.5, 1, 2 and 4 x MIC",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"repositories (Zenodo, figshare, Dryad, D",https://www.ebi.ac.uk/biostudies/studies/S-EPMC6579883,"NOT STATED ON THE REPOSITORY RECORD — the BioStudies record carries only DataSource=Europe PMC, Title, ReleaseDate and AttachTo=EuropePMC, with no licence field and accessTags null. Secondary evidence",ASK_FIRST,no,"YES — verified by parsing: six time points (0, 1, 2, 4, 8, 2","YES, twice over — verified: a t=0 CFU row per series (e.g. P","NO — no LOD, plated volume or dilution factor among the 32 columns. There are MDV (missing dependent variable) flags per dose arm, which tel",no: neither reported,"432 rows across two organisms; 6 IDs x 6 dose levels x 6 time points per organism, so roug",deposit,not requested,"NEW ENTRY, file opened and parsed. One file, Table_2.xls (98,816 bytes, legacy BIFF8, read with xlrd). Titled 'Table S2. Raw bacterial [counts]'. Two sheets, PM and MH, 216 data rows each, 32 columns, laid out as a NONMEM-ready wide dataset: bugs, Timecov, ID, KC, MIC, Strain, Time, then SIX repeated dose blocks — CFU_"
CEFTAZIDIME2021,BioStudies S-EPMC8516195; article 10.1371/journal.pone.0258426; PMID 34648556; PMC8516195,,,"Klebsiella pneumoniae — eight carbapenemase-producing clinical isolates (Kp-8, Kp-21, Kp-28, Kp-43, Kp-47, Kp-62, Kp-48,",,"ceftazidime/avibactam, amikacin, colistin, tigecycline, and the three CEF/AVI-based pairs, versus untreated control",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"repositories (Zenodo, figshare, Dryad, D",https://www.ebi.ac.uk/biostudies/studies/S-EPMC8516195,"NOT STATED ON THE REPOSITORY RECORD — BioStudies exposes only DataSource=Europe PMC, Title, ReleaseDate, AttachTo=EuropePMC; no licence field, accessTags null. Secondary evidence only: Europe PMC repo",ASK_FIRST,no,YES — verified by parsing: five time points per strain per a,"YES — verified: a 0h row in every block, identical across ar","NO — no LOD, plated volume or dilution stated. Note a censoring trap: in the Sheet16 pivot, killed arms are recorded as exactly 0.0, which i",no: neither reported,"8 strains x 8 arms x 5 time points = 320 log10 CFU/mL values; replicate-collapsed, single ",deposit,not requested,"NEW ENTRY, file opened and parsed. One file, pone.0258426.s003.xls (45,568 bytes, legacy BIFF8, read with xlrd), three sheets. Sheet1 is the time-kill data: 57 rows organised as eight per-strain blocks (six under a 'Fig 2' banner, two under 'Fig 3'), each block a 5x8 grid of Time (0h, 3h, 6h, 12h, 24h) against eight ar"
ENOBLOCK,BioStudies S-SCDT-10_1038-S44321-025-00331-2; parent article 10.1038/s44321-025-00331-2,,,Acinetobacter baumannii (ATCC 17978 among others),,"ENOblock (enolase inhibitor) at 8 mg/L, colistin, the combination, and untreated control",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,"repositories (Zenodo, figshare, Dryad, D",https://www.ebi.ac.uk/biostudies/studies/S-SCDT-10_1038-S44321-025-00331-2,"NOT STATED ON THE REPOSITORY RECORD — as with the pretomanid record, BioStudies SourceData exposes only ReleaseDate, RootPath and AttachTo, with no licence field. Secondary evidence only: the parent E",ASK_FIRST,no,"YES, but shallow — verified by parsing: four sampling points",YES — verified: a dedicated 'Starting culture 0 min' group w,"NO — no LOD, plated volume or dilution factor in the workbook",no: neither reported,"49 rows; roughly 12 condition-groups x 3 replicates at 4 time points, i.e. a single figure",deposit,not requested,"NEW ENTRY, file opened and parsed. 115 files in the record, of which RAW_data_CFU.xlsx (11,786 bytes) is the count data. One sheet, 'RAW data figure 3E', 49 rows, columns Label / log10 CFU/ml / Average / SD / Group. Each condition appears as three labelled replicate rows (-A, -B, -C) with the mean and SD written agains"
